上海电信,#genre#
CCTV1HD,http:///udp/225.1.8.1:8008
CCTV2HD,http:///udp/225.1.8.2:8084
CCTV3HD,http:///udp/225.1.8.88:8000
CCTV4HD,http:///udp/225.1.8.4:8092
CCTV5HD,http:///udp/225.1.8.89:8000
CCTV5⁺HD,http:///udp/225.1.8.20:8004
CCTV6HD,http:///udp/225.1.8.84:8000
CCTV7HD,http:///udp/225.1.8.7:8104
CCTV8HD,http:///udp/225.1.8.85:8000
CCTV9HD,http:///udp/225.1.8.9:8112
CCTV10HD,http:///udp/225.1.8.10:8116
CCTV11HD,http:///udp/225.1.8.73:8120
CCTV12HD,http:///udp/225.1.8.12:8124
CCTV13HD,http:///udp/225.1.8.168:8130
CCTV14HD,http:///udp/225.1.8.14:8132
CCTV15HD,http:///udp/225.1.8.74:8136
CCTV17HD,http:///udp/225.1.8.17:8144
CETV1,http:///udp/225.1.8.32:8152
湖南卫视,http:///udp/225.1.8.41:8012
黑龙江卫视,http:///udp/225.1.8.42:8016
深圳卫视,http:///udp/225.1.8.43:8020
江苏卫视,http:///udp/225.1.8.44:8028
东方卫视,http:///udp/225.1.8.45:8032
浙江卫视,http:///udp/225.1.8.46:8036
湖北卫视,http:///udp/225.1.8.47:8044
天津卫视,http:///udp/225.1.8.48:8044
广东卫视,http:///udp/225.1.8.49:8048
山东卫视,http:///udp/225.1.8.50:8052
辽宁卫视,http:///udp/225.1.8.51:8056
安徽卫视,http:///udp/225.1.8.52:8064
河北卫视,http:///udp/225.1.8.76:8002
贵州卫视,http:///udp/225.1.8.77:8076
东南卫视,http:///udp/225.1.8.79:8148
江西卫视,http:///udp/225.1.8.171:8166
重庆卫视,http:///udp/225.1.8.172:8162
三沙卫视,http:///udp/225.1.8.78:4120
金鹰纪实,http:///udp/225.1.8.31:8156
纪实人文,http:///udp/225.1.8.53:8060
快乐垂钓,http:///udp/225.1.8.71:8002
茶频道,http:///udp/225.1.8.72:8002
每日影院,http:///udp/225.1.8.97:8002
幸福剧场,http:///udp/225.1.8.98:8002
幸福娱乐,http:///udp/225.1.8.99:8002
风尚生活,http:///udp/225.1.8.103:8002
中国足协杯,http:///udp/225.1.8.40:8184
体育赛事,http:///udp/225.1.8.81:8176
爱上4K,http:///udp/225.1.8.80:2000
北京IPTV淘精彩,http:///udp/225.1.8.33:8002
北京IPTV淘BABY,http:///udp/225.1.8.36:8002
北京IPTV淘剧场,http:///udp/225.1.8.37:8002
北京IPTV淘电影,http:///udp/225.1.8.38:8002
北京IPTV淘娱乐,http:///udp/225.1.8.61:8002
北京IPTV萌宠TV,http:///udp/225.1.8.63:8002
北京IPTV4K,http:///udp/225.1.8.211:8002
熊猫频道,http:///udp/225.1.8.210:8068
大健康,http:///udp/225.1.8.39:8002
聚鲨环球精选,http:///udp/225.1.8.58:8002
聚鲨北京,http:///udp/225.1.8.59:8002
聚鲨健康,http:///udp/225.1.8.60:8002
聚鲨生活,http:///udp/225.1.8.62:8002
聚鲨国际,http:///udp/225.1.8.66:8002
CGTN,http:///udp/225.1.8.116:8056
CETV1,http:///udp/225.1.8.169:4120
CETV2,http:///udp/225.1.8.193:4120
CETV3,http:///udp/225.1.8.194:4120
CETV4,http:///udp/225.1.8.195:4120
金鹰卡通,http:///udp/225.1.8.163:9252
财富天下,http:///udp/225.1.8.165:9136
嘉佳卡通,http:///udp/225.1.8.170:9268
IPTV收视指南,http:///udp/225.1.8.201:8012
IPTV热播剧场,http:///udp/225.1.8.202:9020
IPTV经典电影,http:///udp/225.1.8.203:9024
IPTV魅力时尚,http:///udp/225.1.8.204:9012
IPTV少儿动画,http:///udp/225.1.8.207:9000
城市剧场,http:///udp/225.1.8.227:4120
军旅剧场,http:///udp/225.1.8.228:4120
古装剧场,http:///udp/225.1.8.229:4120
音乐现场,http:///udp/225.1.8.230:4120
地理,http:///udp/225.1.8.231:4120
美妆,http:///udp/225.1.8.232:4120
美人,http:///udp/225.1.8.233:4120
精选,http:///udp/225.1.8.234:4120
解密,http:///udp/225.1.8.235:4120
军事,http:///udp/225.1.8.236:4120
国学,http:///udp/225.1.8.237:4120
戏曲,http:///udp/225.1.8.238:4120
早教,http:///udp/225.1.8.239:4120
动画,http:///udp/225.1.8.240:4120
好学生,http:///udp/225.1.8.241:4120
鉴赏,http:///udp/225.1.8.242:4120
墨宝,http:///udp/225.1.8.243:4120
光影,http:///udp/225.1.8.244:4120
台球,http:///udp/225.1.8.245:4120
爱生活,http:///udp/225.1.8.246:4120
武术,http:///udp/225.1.8.247:4120
高网,http:///udp/225.1.8.248:4120
足球,http:///udp/225.1.8.249:4120
武侠剧场,http:///udp/225.1.8.250:4120
喜剧影院,http:///udp/225.1.8.251:4120
动作影院,http:///udp/225.1.8.252:4120
家庭影院,http:///udp/225.1.8.253:4120
星影,http:///udp/225.1.8.254:4120

北京卫视,http:///udp/225.1.8.21:8002
北京文艺,http:///udp/225.1.8.22:8002
北京科教,http:///udp/225.1.8.105:8002
北京影视,http:///udp/225.1.8.82:8000
北京财经,http:///udp/225.1.8.106:8002
北京冬奥纪实,http:///udp/225.1.8.23:8002
北京生活,http:///udp/225.1.8.108:8002
北京青年,http:///udp/225.1.8.118:8002
北京新闻,http:///udp/225.1.8.83:8000
北京卡酷少儿,http:///udp/225.1.8.35:8000
北京冬奥纪实 4K,http:///udp/225.1.8.120:8002
北京冬奥纪实 4K,http:///udp/225.1.8.164:8002
房山,http:///udp/225.1.8.68:8002
朝阳融媒,http:///udp/225.1.8.69:8002
密云,http:///udp/225.1.8.75:8002
CCTV1HD,http:///udp/225.1.8.1:8008
CCTV2HD,http:///udp/225.1.8.2:8084
CCTV3HD,http:///udp/225.1.8.88:8000
CCTV4HD,http:///udp/225.1.8.4:8092
CCTV5HD,http:///udp/225.1.8.89:8000
CCTV5⁺HD,http:///udp/225.1.8.20:8004
CCTV6HD,http:///udp/225.1.8.84:8000
CCTV7HD,http:///udp/225.1.8.7:8104
CCTV8HD,http:///udp/225.1.8.85:8000
CCTV9HD,http:///udp/225.1.8.9:8112
CCTV10HD,http:///udp/225.1.8.10:8116
CCTV11HD,http:///udp/225.1.8.73:8120
CCTV12HD,http:///udp/225.1.8.12:8124
CCTV13HD,http:///udp/225.1.8.168:8130
CCTV14HD,http:///udp/225.1.8.14:8132
CCTV15HD,http:///udp/225.1.8.74:8136
CCTV17HD,http:///udp/225.1.8.17:8144
CETV1,http:///udp/225.1.8.32:8152
湖南卫视,http:///udp/225.1.8.41:8012
黑龙江卫视,http:///udp/225.1.8.42:8016
深圳卫视,http:///udp/225.1.8.43:8020
江苏卫视,http:///udp/225.1.8.44:8028
东方卫视,http:///udp/225.1.8.45:8032
浙江卫视,http:///udp/225.1.8.46:8036
湖北卫视,http:///udp/225.1.8.47:8044
天津卫视,http:///udp/225.1.8.48:8044
广东卫视,http:///udp/225.1.8.49:8048
山东卫视,http:///udp/225.1.8.50:8052
辽宁卫视,http:///udp/225.1.8.51:8056
安徽卫视,http:///udp/225.1.8.52:8064
河北卫视,http:///udp/225.1.8.76:8002
贵州卫视,http:///udp/225.1.8.77:8076
东南卫视,http:///udp/225.1.8.79:8148
江西卫视,http:///udp/225.1.8.171:8166
重庆卫视,http:///udp/225.1.8.172:8162
三沙卫视,http:///udp/225.1.8.78:4120
金鹰纪实,http:///udp/225.1.8.31:8156
纪实人文,http:///udp/225.1.8.53:8060
快乐垂钓,http:///udp/225.1.8.71:8002
茶频道,http:///udp/225.1.8.72:8002
每日影院,http:///udp/225.1.8.97:8002
幸福剧场,http:///udp/225.1.8.98:8002
幸福娱乐,http:///udp/225.1.8.99:8002
风尚生活,http:///udp/225.1.8.103:8002
中国足协杯,http:///udp/225.1.8.40:8184
体育赛事,http:///udp/225.1.8.81:8176
爱上4K,http:///udp/225.1.8.80:2000
北京IPTV淘精彩,http:///udp/225.1.8.33:8002
北京IPTV淘BABY,http:///udp/225.1.8.36:8002
北京IPTV淘剧场,http:///udp/225.1.8.37:8002
北京IPTV淘电影,http:///udp/225.1.8.38:8002
北京IPTV淘娱乐,http:///udp/225.1.8.61:8002
北京IPTV萌宠TV,http:///udp/225.1.8.63:8002
北京IPTV4K,http:///udp/225.1.8.211:8002
熊猫频道,http:///udp/225.1.8.210:8068
大健康,http:///udp/225.1.8.39:8002
聚鲨环球精选,http:///udp/225.1.8.58:8002
聚鲨北京,http:///udp/225.1.8.59:8002
聚鲨健康,http:///udp/225.1.8.60:8002
聚鲨生活,http:///udp/225.1.8.62:8002
聚鲨国际,http:///udp/225.1.8.66:8002
CGTN,http:///udp/225.1.8.116:8056
CETV1,http:///udp/225.1.8.169:4120
CETV2,http:///udp/225.1.8.193:4120
CETV3,http:///udp/225.1.8.194:4120
CETV4,http:///udp/225.1.8.195:4120
金鹰卡通,http:///udp/225.1.8.163:9252
财富天下,http:///udp/225.1.8.165:9136
嘉佳卡通,http:///udp/225.1.8.170:9268
IPTV收视指南,http:///udp/225.1.8.201:8012
IPTV热播剧场,http:///udp/225.1.8.202:9020
IPTV经典电影,http:///udp/225.1.8.203:9024
IPTV魅力时尚,http:///udp/225.1.8.204:9012
IPTV少儿动画,http:///udp/225.1.8.207:9000
城市剧场,http:///udp/225.1.8.227:4120
军旅剧场,http:///udp/225.1.8.228:4120
古装剧场,http:///udp/225.1.8.229:4120
音乐现场,http:///udp/225.1.8.230:4120
地理,http:///udp/225.1.8.231:4120
美妆,http:///udp/225.1.8.232:4120
美人,http:///udp/225.1.8.233:4120
精选,http:///udp/225.1.8.234:4120
解密,http:///udp/225.1.8.235:4120
军事,http:///udp/225.1.8.236:4120
国学,http:///udp/225.1.8.237:4120
戏曲,http:///udp/225.1.8.238:4120
早教,http:///udp/225.1.8.239:4120
动画,http:///udp/225.1.8.240:4120
好学生,http:///udp/225.1.8.241:4120
鉴赏,http:///udp/225.1.8.242:4120
墨宝,http:///udp/225.1.8.243:4120
光影,http:///udp/225.1.8.244:4120
台球,http:///udp/225.1.8.245:4120
爱生活,http:///udp/225.1.8.246:4120
武术,http:///udp/225.1.8.247:4120
高网,http:///udp/225.1.8.248:4120
足球,http:///udp/225.1.8.249:4120
武侠剧场,http:///udp/225.1.8.250:4120
喜剧影院,http:///udp/225.1.8.251:4120
动作影院,http:///udp/225.1.8.252:4120
家庭影院,http:///udp/225.1.8.253:4120
星影,http:///udp/225.1.8.254:4120

北京卫视,http:///udp/225.1.8.21:8002
北京文艺,http:///udp/225.1.8.22:8002
北京科教,http:///udp/225.1.8.105:8002
北京影视,http:///udp/225.1.8.82:8000
北京财经,http:///udp/225.1.8.106:8002
北京冬奥纪实,http:///udp/225.1.8.23:8002
北京生活,http:///udp/225.1.8.108:8002
北京青年,http:///udp/225.1.8.118:8002
北京新闻,http:///udp/225.1.8.83:8000
北京卡酷少儿,http:///udp/225.1.8.35:8000
北京冬奥纪实 4K,http:///udp/225.1.8.120:8002
北京冬奥纪实 4K,http:///udp/225.1.8.164:8002
房山,http:///udp/225.1.8.68:8002
朝阳融媒,http:///udp/225.1.8.69:8002
密云,http:///udp/225.1.8.75:8002
CCTV1HD,http:///udp/225.1.8.1:8008
CCTV2HD,http:///udp/225.1.8.2:8084
CCTV3HD,http:///udp/225.1.8.88:8000
CCTV4HD,http:///udp/225.1.8.4:8092
CCTV5HD,http:///udp/225.1.8.89:8000
CCTV5⁺HD,http:///udp/225.1.8.20:8004
CCTV6HD,http:///udp/225.1.8.84:8000
CCTV7HD,http:///udp/225.1.8.7:8104
CCTV8HD,http:///udp/225.1.8.85:8000
CCTV9HD,http:///udp/225.1.8.9:8112
CCTV10HD,http:///udp/225.1.8.10:8116
CCTV11HD,http:///udp/225.1.8.73:8120
CCTV12HD,http:///udp/225.1.8.12:8124
CCTV13HD,http:///udp/225.1.8.168:8130
CCTV14HD,http:///udp/225.1.8.14:8132
CCTV15HD,http:///udp/225.1.8.74:8136
CCTV17HD,http:///udp/225.1.8.17:8144
CETV1,http:///udp/225.1.8.32:8152
湖南卫视,http:///udp/225.1.8.41:8012
黑龙江卫视,http:///udp/225.1.8.42:8016
深圳卫视,http:///udp/225.1.8.43:8020
江苏卫视,http:///udp/225.1.8.44:8028
东方卫视,http:///udp/225.1.8.45:8032
浙江卫视,http:///udp/225.1.8.46:8036
湖北卫视,http:///udp/225.1.8.47:8044
天津卫视,http:///udp/225.1.8.48:8044
广东卫视,http:///udp/225.1.8.49:8048
山东卫视,http:///udp/225.1.8.50:8052
辽宁卫视,http:///udp/225.1.8.51:8056
安徽卫视,http:///udp/225.1.8.52:8064
河北卫视,http:///udp/225.1.8.76:8002
贵州卫视,http:///udp/225.1.8.77:8076
东南卫视,http:///udp/225.1.8.79:8148
江西卫视,http:///udp/225.1.8.171:8166
重庆卫视,http:///udp/225.1.8.172:8162
三沙卫视,http:///udp/225.1.8.78:4120
金鹰纪实,http:///udp/225.1.8.31:8156
纪实人文,http:///udp/225.1.8.53:8060
快乐垂钓,http:///udp/225.1.8.71:8002
茶频道,http:///udp/225.1.8.72:8002
每日影院,http:///udp/225.1.8.97:8002
幸福剧场,http:///udp/225.1.8.98:8002
幸福娱乐,http:///udp/225.1.8.99:8002
风尚生活,http:///udp/225.1.8.103:8002
中国足协杯,http:///udp/225.1.8.40:8184
体育赛事,http:///udp/225.1.8.81:8176
爱上4K,http:///udp/225.1.8.80:2000
北京IPTV淘精彩,http:///udp/225.1.8.33:8002
北京IPTV淘BABY,http:///udp/225.1.8.36:8002
北京IPTV淘剧场,http:///udp/225.1.8.37:8002
北京IPTV淘电影,http:///udp/225.1.8.38:8002
北京IPTV淘娱乐,http:///udp/225.1.8.61:8002
北京IPTV萌宠TV,http:///udp/225.1.8.63:8002
北京IPTV4K,http:///udp/225.1.8.211:8002
熊猫频道,http:///udp/225.1.8.210:8068
大健康,http:///udp/225.1.8.39:8002
聚鲨环球精选,http:///udp/225.1.8.58:8002
聚鲨北京,http:///udp/225.1.8.59:8002
聚鲨健康,http:///udp/225.1.8.60:8002
聚鲨生活,http:///udp/225.1.8.62:8002
聚鲨国际,http:///udp/225.1.8.66:8002
CGTN,http:///udp/225.1.8.116:8056
CETV1,http:///udp/225.1.8.169:4120
CETV2,http:///udp/225.1.8.193:4120
CETV3,http:///udp/225.1.8.194:4120
CETV4,http:///udp/225.1.8.195:4120
金鹰卡通,http:///udp/225.1.8.163:9252
财富天下,http:///udp/225.1.8.165:9136
嘉佳卡通,http:///udp/225.1.8.170:9268
IPTV收视指南,http:///udp/225.1.8.201:8012
IPTV热播剧场,http:///udp/225.1.8.202:9020
IPTV经典电影,http:///udp/225.1.8.203:9024
IPTV魅力时尚,http:///udp/225.1.8.204:9012
IPTV少儿动画,http:///udp/225.1.8.207:9000
城市剧场,http:///udp/225.1.8.227:4120
军旅剧场,http:///udp/225.1.8.228:4120
古装剧场,http:///udp/225.1.8.229:4120
音乐现场,http:///udp/225.1.8.230:4120
地理,http:///udp/225.1.8.231:4120
美妆,http:///udp/225.1.8.232:4120
美人,http:///udp/225.1.8.233:4120
精选,http:///udp/225.1.8.234:4120
解密,http:///udp/225.1.8.235:4120
军事,http:///udp/225.1.8.236:4120
国学,http:///udp/225.1.8.237:4120
戏曲,http:///udp/225.1.8.238:4120
早教,http:///udp/225.1.8.239:4120
动画,http:///udp/225.1.8.240:4120
好学生,http:///udp/225.1.8.241:4120
鉴赏,http:///udp/225.1.8.242:4120
墨宝,http:///udp/225.1.8.243:4120
光影,http:///udp/225.1.8.244:4120
台球,http:///udp/225.1.8.245:4120
爱生活,http:///udp/225.1.8.246:4120
武术,http:///udp/225.1.8.247:4120
高网,http:///udp/225.1.8.248:4120
足球,http:///udp/225.1.8.249:4120
武侠剧场,http:///udp/225.1.8.250:4120
喜剧影院,http:///udp/225.1.8.251:4120
动作影院,http:///udp/225.1.8.252:4120
家庭影院,http:///udp/225.1.8.253:4120
星影,http:///udp/225.1.8.254:4120
